id,topic,subtopic,prompt,difficulty,baseline_answer
eval_nlp_001,nlp,tokenization,Why do modern language models often use subword tokenization instead of word tokenization?,medium,"Simple definition: Subword tokenization involves breaking down words into smaller units called subwords, which can be used as individual tokens rather than whole words. This allows for more efficient processing and storage of text data.

Intuition: Imagine you have a long string of letters like ""hello"". In word tokenization, each letter would become its own separate unit (e.g., 'h', 'e', 'l', 'o'). However, in subword tokenization, we break it down into smaller units (e.g., 'hllo'), making them easier to work with and store.

Small example: Consider this sentence: ""The quick brown fox jumps over the lazy dog."" If we were using word tokenization, it might look like this: ""The"" + ""quick"" + ""brown"" + ""fox"" + ""jumps"" + ""over"" + ""the"" + ""lazy"" + ""dog."" But in subword tokenization, we could split it into: ""Th"" + ""eQu"" + ""kQu"" + ""n"" + ""b"" + ""r"" + ""o"" + ""w"" + ""i"" + ""s"" + ""f"" + ""x"" + ""J"" + ""u"" + ""m"" + ""o"" + ""v"" + ""e"" + ""r"" + ""t"" + ""h"" + ""o"" + ""d.""

Exam takeaway: Subword tokenization"
eval_nlp_002,nlp,embeddings,Explain why word embeddings can capture similarity between words.,medium,"Simple Definition: Word embeddings represent words as vectors in high-dimensional spaces where each dimension corresponds to a semantic feature of the word. These vectors allow us to quantify how similar two words are based on their meanings.

Intuition: Imagine you have a bunch of toy cars. If you compare them, you might notice that some cars look alike, while others have different features like color or size. Word embeddings do something similar, but instead of comparing physical attributes, they compare meaning.

Small Example (if helpful): Let's say we have three words: ""cat"", ""dog"", and ""bird"". We could create an embedding vector for each one:

- For ""cat"": [0.5, 0.8, 0.7]
- For ""dog"": [0.6, 0.9, 0.5]
- For ""bird"": [0.4, 0.3, 0.6]

Now, imagine you're looking at a photo of a cat, a dog, and a bird. The vector representing each would be very similar because all three animals share many common characteristics. However, if you were to compare the vectors, you'd see that they're quite different from each other—because they don't share any significant similarities.

Exam Takeaway: Word embeddings help us understand how similar words are by showing us how much they mean to us. This makes it easier to recognize patterns and relationships between words in text data."
eval_nlp_003,nlp,language_models,What does it mean for a language model to predict the next token?,easy,"Simple definition: A language model predicts the next token based on its current state and context.

Intuition: Predicting the next token means understanding what comes next in the sequence of tokens generated by the model.

Small example: Consider a simple language model predicting the next word in a sentence. If the model sees ""the"" followed by ""quick,"" it would predict ""quick."" This prediction relies on recognizing patterns in sequences of words.

Exam takeaway: Understanding how a language model makes predictions helps in analyzing text generation models and improving natural language processing techniques."
eval_nlp_004,nlp,bert,Why does BERT use masked language modeling during pretraining?,medium,"Simple definition: BERT (Bidirectional Encoder Representations from Transformers) uses masked language modeling during pretraining because it helps improve the model's understanding of context and relationships between words, making it more effective at generating human-like text.

Intuition: Imagine you're trying to guess what your friend will say next in a conversation. BERT learns to predict their response based on previous conversations, which can help it understand the context better and make more accurate predictions about future interactions.

Small example: Let's say you have a chatbot named ""Alex"". When Alex hears someone ask ""What's your favorite color?"", BERT might learn to predict what color Alex would respond with based on past conversations where Alex has asked questions like this. This helps the bot become more confident in its responses and makes it easier for users to interact with it.

Exam takeaway: Understanding how BERT uses masked language modeling during pretraining allows developers to create more realistic and natural-sounding AI assistants. It helps the models learn to anticipate user queries and provide appropriate responses, enhancing overall usability and effectiveness."
eval_nlp_005,nlp,gpt,Explain why GPT is called a causal language model.,medium,"Simple Definition: A causal language model is a type of machine learning model designed to understand cause-and-effect relationships between variables. It uses statistical methods to predict outcomes based on past events and their effects.

Intuition: Causal models can help us understand how different factors influence each other over time. For example, if you eat breakfast, it affects your mood; this relationship can be modeled using a causal language model.

Small Example (if needed): Imagine you have two types of cookies - chocolate chip and oatmeal raisin. If you eat more chocolate chip cookies than oatmeal raisin cookies, they will affect your overall cookie preference. This is an example of a causal relationship where one thing influences another.

Exam Takeaway: Understanding causality is crucial in many fields like economics, medicine, and social sciences. Causal models allow researchers to make predictions about future outcomes based on historical data, making them invaluable tools in analyzing complex systems."
eval_nlp_006,nlp,seq2seq,Explain how an encoder-decoder model works in machine translation.,medium,"Simple Definition: An encoder-decoder model is a type of neural network designed to translate one language into another. It consists of two main parts: an encoder (which maps input text to numerical representations) and a decoder (which translates those numbers back into output text).

Intuition: Think of it like a puzzle where the encoder helps you understand the meaning of words, while the decoder uses this understanding to produce the correct output sentence.

Small Example: Imagine you have a set of instructions written in English. The encoder would take these instructions as input and convert them into a sequence of symbols that can be understood by your brain. Then, the decoder takes this sequence and tries to figure out what the original instructions were about based on the symbols it's given. This process allows the decoder to create a coherent output sentence that makes sense in the target language.

Exam Takeaway: Understanding how an encoder-decoder model works is crucial for translating between languages efficiently. It involves converting inputs into numerical codes and then decoding these codes back into meaningful outputs. This method is particularly useful in tasks like machine translation, where accurate translations are essential for communication across different languages."
eval_nlp_007,nlp,decoding,Compare greedy decoding beam search and sampling in simple language.,hard,"Simple definition: Both greedy decoding beam search and sampling aim to find the most likely sequence of symbols given an input string. Greedy decoding uses the shortest path first (beam search), while sampling randomly selects one symbol at each step.

Intuition: In greedy decoding, you start with the shortest possible paths and expand them as you encounter longer ones. Sampling involves choosing a random symbol from the current state without considering future possibilities.

Small example: Imagine you have a sentence ""The quick brown fox jumps over the lazy dog"". You want to decode it using both methods:

**Greedy Decoding Beam Search:**
- Start with ""T"" (the shortest).
- Expand ""T"" into ""Th"", then ""h"".
- Continue expanding until all letters are used up.

**Sampling:**
- Choose a random letter from the current state (""T"").
- This could be ""T"", ""H"", or any other letter.

Exam Takeaway: Both methods can lead to similar results, but they differ in how they handle randomness. Greedy decoding beam search starts with the shortest paths, while sampling randomly chooses a symbol based on its frequency. The choice between these approaches depends on whether you prefer simplicity or flexibility in your decoding strategy."
eval_nlp_008,nlp,ner,Explain BIO tagging for named entity recognition with a small example.,medium,"Simple Definition: 
BIO (Biological Information Object) tagging is a method used in natural language processing to identify entities such as people, places, organizations, and more within text data. It helps in understanding the context of information being discussed.

Intuition: 
Imagine you're looking at a big book of stories. You want to know who wrote what part of the story. Bio tagging does something similar - it looks at words in sentences to find out which things they refer to.

Small Example:
Suppose you have this sentence: ""The quick brown fox jumps over the lazy dog.""

In bio tagging, we would look at each word:
- The = Person/Place
- quick = Location
- brown = Animal
- fox = Animal
- jumps = Action
- over = Location
- the = Location
- lazy = Animal
- dog = Animal

This shows us that ""fox"" refers to an animal, ""dog"" to another animal, etc., helping us understand the relationships between different parts of the sentence.

Exam Takeaway:
Understanding how to tag entities like this can be very useful in many fields, from social media analysis to legal documents. By identifying key entities, researchers and developers can better comprehend the content and structure of their data."
eval_nlp_009,nlp,rag,Why can retrieval augmented generation help reduce hallucination?,medium,"Simple definition: Retrieval Augmented Generation (RAG) uses text from a database to create new content, including images, videos, and audio files, which helps reduce hallucinations because it provides context and coherence that humans often struggle with.

Intuition: When we read a book, our brains process information sequentially, building up mental models of what's happening in the story. RAG allows us to see how different parts of a text interact with each other, creating a more coherent narrative that reduces the likelihood of hallucinations as our brain tries to make sense of the new information.

Small example: Imagine you're reading a novel about a character who has been living in a dream world for years. The first few chapters might be very surreal and confusing, but as you continue to read, you start to piece together the characters' thoughts and feelings, their dreams, and even the environment they inhabit. This gradual integration of information makes the experience less overwhelming and more realistic, reducing the risk of hallucinations.

Exam takeaway: RAG helps reduce hallucinations by providing a structured, coherent narrative that integrates new information seamlessly into existing knowledge, making the experience feel more real and less jarring."
eval_nlp_010,nlp,evaluation,Why is evaluating generated text harder than evaluating classification accuracy?,hard,"Simple definition: Evaluating generated text involves assessing whether it accurately represents the intended content without any human intervention.

Intuition: Humans often struggle with generating natural language because they lack the context and nuance of human thought processes.

Small example (if useful): Consider a simple story where the characters make decisions based on limited information. If you evaluate this story using traditional methods like grammar checks or word count, you might miss important nuances. However, if you analyze the story's structure, character motivations, and dialogue choices, you can identify potential issues with the generated text.

Exam takeaway: Understanding how humans process and interpret language is crucial for evaluating generated text effectively. It requires a deeper understanding of human cognitive processes rather than relying solely on automated evaluation systems."
