id,topic,subtopic,prompt,difficulty
dl_037,deep_learning,attention,Why is scaled dot product attention divided by square root of d_k?,hard
dl_038,deep_learning,transformer,What is the main idea of a Transformer model?,easy
dl_039,deep_learning,transformer,Why do Transformers use positional encoding?,medium
dl_040,deep_learning,transformer,What is multi-head attention and why is it useful?,medium
dl_041,deep_learning,transformer,Explain encoder and decoder in a Transformer.,medium
dl_042,deep_learning,transformer,What is the difference between self-attention and cross-attention?,hard
dl_043,deep_learning,rl,Explain reinforcement learning in simple language.,easy
dl_044,deep_learning,rl,What is the difference between state action reward and policy?,easy
dl_045,deep_learning,rl,Explain Q-learning in simple language.,medium
dl_046,deep_learning,rl,Why is DQN considered off-policy?,hard
dl_047,deep_learning,rl,What is a replay buffer in DQN and why is it useful?,medium
dl_048,deep_learning,rl,Explain target network in DQN.,medium
dl_049,deep_learning,rl,What is the difference between on-policy and off-policy learning?,medium
dl_050,deep_learning,rl,Explain PPO in simple language.,hard
dl_051,deep_learning,representation_learning,What is contrastive learning in simple language?,medium
dl_052,deep_learning,representation_learning,Explain SimCLR and why it uses positive and negative pairs.,hard
dl_053,deep_learning,representation_learning,Why can non-contrastive methods collapse?,hard
dl_054,deep_learning,representation_learning,Explain BYOL in simple language.,hard
dl_055,deep_learning,model_compression,What is model pruning in deep learning?,medium
dl_056,deep_learning,model_compression,Explain knowledge distillation in simple language.,medium
dl_057,deep_learning,model_compression,What is quantization and why is it useful?,medium
dl_058,deep_learning,generative_models,What is the difference between GANs and diffusion models?,hard
dl_059,deep_learning,generative_models,Explain diffusion models in simple language.,hard
dl_060,deep_learning,modern_architectures,What is the difference between Transformer and Mamba in simple language?,hard
nlp_001,nlp,text_preprocessing,What is tokenization in NLP?,easy
nlp_002,nlp,text_preprocessing,What is the difference between word tokenization and subword tokenization?,medium
nlp_003,nlp,text_preprocessing,Explain stemming and lemmatization in simple language.,easy
nlp_004,nlp,text_preprocessing,What are stop words and when might removing them be harmful?,medium
nlp_005,nlp,word_representation,Explain one-hot encoding for words.,easy
nlp_006,nlp,word_representation,Why is one-hot encoding limited for NLP?,easy
nlp_007,nlp,word_representation,What are word embeddings?,easy
nlp_008,nlp,word_representation,Explain Word2Vec in simple language.,medium
nlp_009,nlp,word_representation,What is the difference between CBOW and Skip-gram?,medium
nlp_010,nlp,word_representation,Explain cosine similarity for word embeddings.,easy
nlp_011,nlp,language_models,What is a language model?,easy
nlp_012,nlp,language_models,What does next-token prediction mean?,easy
nlp_013,nlp,language_models,Explain perplexity in simple language.,medium
nlp_014,nlp,language_models,Why do language models learn probability distributions over words?,medium
nlp_015,nlp,sequence_models,Why were RNNs used in older NLP models?,easy
nlp_016,nlp,sequence_models,What is sequence-to-sequence learning?,medium
nlp_017,nlp,sequence_models,Explain encoder-decoder models in NLP.,medium
nlp_018,nlp,attention,Why was attention important for NLP?,easy
nlp_019,nlp,attention,Explain attention in machine translation.,medium
nlp_020,nlp,transformers,Why did Transformers become popular in NLP?,easy
nlp_021,nlp,transformers,What is the difference between BERT GPT and T5?,hard
nlp_022,nlp,transformers,Explain masked language modeling in BERT.,medium
nlp_023,nlp,transformers,Explain causal language modeling in GPT.,medium
nlp_024,nlp,transformers,What does pretraining and fine-tuning mean in NLP?,medium
nlp_025,nlp,decoding,What is greedy decoding?,easy
nlp_026,nlp,decoding,Explain beam search using a simple example.,medium
nlp_027,nlp,decoding,Why does beam search keep multiple candidate sequences?,medium
nlp_028,nlp,decoding,What is the difference between greedy search beam search and sampling?,hard
nlp_029,nlp,ner,What is named entity recognition?,easy
nlp_030,nlp,ner,What do B-PER I-PER B-ORG and B-LOC mean in NER tagging?,medium
nlp_031,nlp,ner,Explain BIO tagging in simple language.,medium
nlp_032,nlp,classification,What is text classification?,easy
nlp_033,nlp,classification,How can sentiment analysis be treated as text classification?,easy
nlp_034,nlp,classification,What is the difference between multi-class and multi-label text classification?,medium
nlp_035,nlp,modern_models,What does ELECTRA do differently from BERT?,hard
nlp_036,nlp,modern_models,Explain BART in simple language.,hard
nlp_037,nlp,modern_models,What is the difference between encoder-only decoder-only and encoder-decoder language models?,hard
nlp_038,nlp,rag,What is retrieval augmented generation in simple language?,medium
nlp_039,nlp,rag,Why can RAG reduce hallucination in language models?,medium
nlp_040,nlp,evaluation,How do we evaluate whether an NLP model output is good?,medium
